Time,Type,Size
1.01638,Tx,1024
1.03277,Tx,1024
1.04915,Tx,1024
1.06554,Tx,1024
1.08192,Tx,1024
1.0983,Tx,1024
1.11469,Tx,1024
1.13107,Tx,1024
1.14746,Tx,1024
1.16384,Tx,1024
1.18022,Tx,1024
1.19661,Tx,1024
1.21299,Tx,1024
1.22938,Tx,1024
1.24576,Tx,1024
1.26214,Tx,1024
1.27853,Tx,1024
1.29491,Tx,1024
1.3113,Tx,1024
1.32768,Tx,1024
1.34406,Tx,1024
1.36045,Tx,1024
1.36134,Rx,1024
1.36978,Rx,1024
1.37683,Tx,1024
1.37821,Rx,1024
1.38664,Rx,1024
1.39322,Tx,1024
1.39507,Rx,1024
1.4035,Rx,1024
1.4096,Tx,1024
1.41194,Rx,1024
1.42037,Rx,1024
1.42598,Tx,1024
1.4288,Rx,1024
1.43723,Rx,1024
1.44237,Tx,1024
1.44566,Rx,1024
1.4541,Rx,1024
1.45875,Tx,1024
1.46253,Rx,1024
1.47096,Rx,1024
1.47514,Tx,1024
1.47939,Rx,1024
1.48782,Rx,1024
1.49152,Tx,1024
1.49626,Rx,1024
1.50469,Rx,1024
1.5079,Tx,1024
1.51312,Rx,1024
1.52155,Rx,1024
1.52429,Tx,1024
1.52998,Rx,1024
1.53842,Rx,1024
1.54067,Tx,1024
1.54685,Rx,1024
1.55528,Rx,1024
1.55706,Tx,1024
1.56371,Rx,1024
1.57214,Rx,1024
1.57344,Tx,1024
1.58058,Rx,1024
1.58901,Rx,1024
1.58982,Tx,1024
1.59744,Rx,1024
1.60587,Rx,1024
1.60621,Tx,1024
1.6143,Rx,1024
1.62259,Tx,1024
1.62274,Rx,1024
1.63117,Rx,1024
1.63898,Tx,1024
1.6396,Rx,1024
1.64803,Rx,1024
1.65536,Tx,1024
1.65646,Rx,1024
1.6649,Rx,1024
1.67174,Tx,1024
1.67789,Rx,1024
1.68813,Tx,1024
1.69427,Rx,1024
1.70451,Tx,1024
1.71066,Rx,1024
1.7209,Tx,1024
1.72704,Rx,1024
1.73728,Tx,1024
1.74342,Rx,1024
