Time,Type,Size
0.0443222,Tx,66
0.0443222,Tx,66
0.0543222,Rx,66
0.0543222,Rx,66
0.15709,Tx,50
0.157442,Tx,66
0.157442,Tx,66
0.16709,Rx,50
0.167442,Rx,66
0.167442,Rx,66
0.417975,Tx,50
0.427975,Rx,50
2.07717,Tx,66
2.07717,Tx,66
2.08717,Rx,66
2.08717,Rx,66
2.1824,Tx,58
2.1924,Rx,58
2.23955,Tx,66
2.23955,Tx,66
2.24955,Rx,66
2.24955,Rx,66
2.26355,Tx,58
2.27355,Rx,58
4.00761,Tx,66
4.00761,Tx,66
4.01761,Rx,66
4.01761,Rx,66
4.05339,Tx,58
4.06339,Rx,58
4.18904,Tx,66
4.18904,Tx,66
4.19904,Rx,66
4.19904,Rx,66
4.20606,Tx,58
4.21606,Rx,58
5.06746,Tx,50
5.06746,Tx,50
5.07746,Rx,50
5.07746,Rx,50
5.35856,Tx,50
5.35856,Tx,50
5.36856,Rx,50
5.36856,Rx,50
6.00864,Tx,62
6.01864,Rx,62
6.19049,Tx,66
6.19049,Tx,66
6.20049,Rx,66
6.20049,Rx,66
6.32896,Tx,58
6.33896,Rx,58
6.48457,Tx,70
6.48457,Tx,70
6.49457,Rx,70
6.49457,Rx,70
8.22064,Tx,62
8.23064,Rx,62
8.23651,Tx,58
8.24651,Rx,58
8.39359,Tx,66
8.39359,Tx,66
8.39887,Tx,70
8.39887,Tx,70
8.40359,Rx,66
8.40359,Rx,66
8.40887,Rx,70
8.40887,Rx,70
10.1009,Tx,106
10.1009,Tx,106
10.1109,Rx,106
10.1109,Rx,106
10.2336,Tx,58
10.2436,Rx,58
10.2803,Tx,150
10.2803,Tx,150
10.2903,Rx,150
10.2903,Rx,150
10.3386,Tx,74
10.3386,Tx,74
10.3486,Rx,74
10.3486,Rx,74
10.4594,Tx,62
10.4694,Rx,62
10.6009,Tx,66
10.6009,Tx,66
10.6109,Rx,66
10.6109,Rx,66
10.7336,Tx,58
10.7436,Rx,58
10.8803,Tx,50
10.8803,Tx,50
10.8903,Rx,50
10.8903,Rx,50
11.0386,Tx,74
11.0386,Tx,74
11.0486,Rx,74
11.0486,Rx,74
11.1594,Tx,62
11.1694,Rx,62
12.1009,Tx,106
12.1009,Tx,106
12.1109,Rx,106
12.1109,Rx,106
12.2336,Tx,58
12.2436,Rx,58
12.3803,Tx,150
12.3803,Tx,150
12.3903,Rx,150
12.3903,Rx,150
12.5386,Tx,74
12.5386,Tx,74
12.5486,Rx,74
12.5486,Rx,74
12.6594,Tx,62
12.6694,Rx,62
13.6009,Tx,66
13.6009,Tx,66
13.6109,Rx,66
13.6109,Rx,66
13.7336,Tx,58
13.7436,Rx,58
13.8803,Tx,50
13.8803,Tx,50
13.8903,Rx,50
13.8903,Rx,50
14.0386,Tx,74
14.0386,Tx,74
14.0486,Rx,74
14.0486,Rx,74
14.1594,Tx,62
14.1694,Rx,62
15.1009,Tx,106
15.1009,Tx,106
15.1109,Rx,106
15.1109,Rx,106
15.2336,Tx,58
15.2436,Rx,58
15.3803,Tx,150
15.3803,Tx,150
15.3903,Rx,150
15.3903,Rx,150
15.5386,Tx,74
15.5386,Tx,74
15.5486,Rx,74
15.5486,Rx,74
15.6594,Tx,62
15.6694,Rx,62
16.6009,Tx,66
16.6009,Tx,66
16.6109,Rx,66
16.6109,Rx,66
16.7336,Tx,58
16.7436,Rx,58
16.8803,Tx,50
16.8803,Tx,50
16.8903,Rx,50
16.8903,Rx,50
17.0386,Tx,74
17.0386,Tx,74
17.0486,Rx,74
17.0486,Rx,74
17.1594,Tx,62
17.1694,Rx,62
18.1009,Tx,106
18.1009,Tx,106
18.1109,Rx,106
18.1109,Rx,106
18.2336,Tx,58
18.2436,Rx,58
18.3803,Tx,150
18.3803,Tx,150
18.3903,Rx,150
18.3903,Rx,150
18.5386,Tx,74
18.5386,Tx,74
18.5486,Rx,74
18.5486,Rx,74
18.6594,Tx,62
18.6694,Rx,62
19.6009,Tx,66
19.6009,Tx,66
19.6109,Rx,66
19.6109,Rx,66
19.7336,Tx,58
19.7436,Rx,58
19.8803,Tx,50
19.8803,Tx,50
